dataset,subject,grade,year,jurisdiction,stat,variable,group,value,errorFlag,displayable
schtype,MAT,8,2005,NT,PC:P9,SCHTYP2,Public,999,288,0
schtype,MAT,8,2005,NT,MN:MN,SCHTYP2,Private,999,288,0
schtype,MAT,8,2005,NT,PC:P1,SCHTYP2,Private,999,288,0
schtype,MAT,8,2005,NT,PC:P2,SCHTYP2,Private,999,288,0
schtype,MAT,8,2005,NT,PC:P5,SCHTYP2,Private,999,288,0
schtype,MAT,8,2005,NT,PC:P7,SCHTYP2,Private,999,288,0
schtype,MAT,8,2005,NT,PC:P9,SCHTYP2,Private,999,288,0
schtype,MAT,8,2007,NT,MN:MN,SCHTYP2,Public,280.169461427268,0,1
schtype,MAT,8,2007,NT,PC:P1,SCHTYP2,Public,233.529995727539,0,1
schtype,MAT,8,2007,NT,PC:P2,SCHTYP2,Public,256.659997558594,0,1
schtype,MAT,8,2007,NT,PC:P5,SCHTYP2,Public,281.420007324219,0,1
schtype,MAT,8,2007,NT,PC:P7,SCHTYP2,Public,305.152001953125,0,1
schtype,MAT,8,2007,NT,PC:P9,SCHTYP2,Public,325.45,0,1
schtype,MAT,8,2007,NT,MN:MN,SCHTYP2,Private,293.363391650186,0,1
schtype,MAT,8,2007,NT,PC:P1,SCHTYP2,Private,249.345999145508,0,1
schtype,MAT,8,2007,NT,PC:P2,SCHTYP2,Private,271.511999511719,0,1
schtype,MAT,8,2007,NT,PC:P5,SCHTYP2,Private,294.492004394531,0,1
schtype,MAT,8,2007,NT,PC:P7,SCHTYP2,Private,316.102001953125,0,1
schtype,MAT,8,2007,NT,PC:P9,SCHTYP2,Private,335.601995849609,0,1
schtype,MAT,8,2009,NT,MN:MN,SCHTYP2,Public,281.674781063299,0,1
schtype,MAT,8,2009,NT,PC:P1,SCHTYP2,Public,234.505999755859,0,1
schtype,MAT,8,2009,NT,PC:P2,SCHTYP2,Public,257.871997070313,0,1
schtype,MAT,8,2009,NT,PC:P5,SCHTYP2,Public,282.780004882812,0,1
schtype,MAT,8,2009,NT,PC:P7,SCHTYP2,Public,306.93798828125,0,1
schtype,MAT,8,2009,NT,PC:P9,SCHTYP2,Public,327.642004394531,0,1
schtype,MAT,8,2009,NT,MN:MN,SCHTYP2,Private,295.637027430223,0,1
schtype,MAT,8,2009,NT,PC:P1,SCHTYP2,Private,253.305996704101,0,1
schtype,MAT,8,2009,NT,PC:P2,SCHTYP2,Private,274.260003662109,0,1
schtype,MAT,8,2009,NT,PC:P5,SCHTYP2,Private,296.780004882813,0,1
schtype,MAT,8,2009,NT,PC:P7,SCHTYP2,Private,317.938000488281,0,1
schtype,MAT,8,2009,NT,PC:P9,SCHTYP2,Private,337.403997802734,0,1
schtype,MAT,8,2011,NT,MN:MN,SCHTYP2,Public,282.727131008882,0,1
schtype,MAT,8,2011,NT,PC:P1,SCHTYP2,Public,235.792004394531,0,1
schtype,MAT,8,2011,NT,PC:P2,SCHTYP2,Public,258.930004882813,0,1
schtype,MAT,8,2011,NT,PC:P5,SCHTYP2,Public,283.69800415039,0,1
schtype,MAT,8,2011,NT,PC:P7,SCHTYP2,Public,307.675994873047,0,1
schtype,MAT,8,2011,NT,PC:P9,SCHTYP2,Public,328.5,0,1
schtype,MAT,8,2011,NT,MN:MN,SCHTYP2,Private,296.209498538311,0,1
schtype,MAT,8,2011,NT,PC:P1,SCHTYP2,Private,253.138000488281,0,1
schtype,MAT,8,2011,NT,PC:P2,SCHTYP2,Private,274.611999511719,0,1
schtype,MAT,8,2011,NT,PC:P5,SCHTYP2,Private,297.216003417969,0,1
schtype,MAT,8,2011,NT,PC:P7,SCHTYP2,Private,319.021997070313,0,1
schtype,MAT,8,2011,NT,PC:P9,SCHTYP2,Private,337.761993408203,0,1
schtype,MAT,8,2013,NT,MN:MN,SCHTYP2,Public,283.615036453665,0,1
schtype,MAT,8,2013,NT,PC:P1,SCHTYP2,Public,236.473000335693,0,1
schtype,MAT,8,2013,NT,PC:P2,SCHTYP2,Public,259.836001586914,0,1
schtype,MAT,8,2013,NT,PC:P5,SCHTYP2,Public,284.612998962402,0,1
schtype,MAT,8,2013,NT,PC:P7,SCHTYP2,Public,308.693002319336,0,1
schtype,MAT,8,2013,NT,PC:P9,SCHTYP2,Public,329.56000213623,0,1
schtype,MAT,8,2013,NT,MN:MN,SCHTYP2,Private,295.729983173859,0,1
schtype,MAT,8,2013,NT,PC:P1,SCHTYP2,Private,250.22749710083,0,1
schtype,MAT,8,2013,NT,PC:P2,SCHTYP2,Private,272.553500366211,0,1
schtype,MAT,8,2013,NT,PC:P5,SCHTYP2,Private,296.660998535156,0,1
schtype,MAT,8,2013,NT,PC:P7,SCHTYP2,Private,319.715498352051,0,1
schtype,MAT,8,2013,NT,PC:P9,SCHTYP2,Private,340.625503540039,0,1
schtype,MAT,8,2015,NT,MN:MN,SCHTYP2,Public,999,288,0
schtype,MAT,8,2015,NT,PC:P1,SCHTYP2,Public,999,288,0
schtype,MAT,8,2015,NT,PC:P2,SCHTYP2,Public,999,288,0
schtype,MAT,8,2015,NT,PC:P5,SCHTYP2,Public,999,288,0
schtype,MAT,8,2015,NT,PC:P7,SCHTYP2,Public,999,288,0
schtype,MAT,8,2015,NT,PC:P9,SCHTYP2,Public,999,288,0
schtype,MAT,8,2015,NT,MN:MN,SCHTYP2,Private,999,288,0
schtype,MAT,8,2015,NT,PC:P1,SCHTYP2,Private,999,288,0
schtype,MAT,8,2015,NT,PC:P2,SCHTYP2,Private,999,288,0
schtype,MAT,8,2015,NT,PC:P5,SCHTYP2,Private,999,288,0
schtype,MAT,8,2015,NT,PC:P7,SCHTYP2,Private,999,288,0
schtype,MAT,8,2015,NT,PC:P9,SCHTYP2,Private,999,288,0
schtype,MAT,8,2017,NT,MN:MN,SCHTYP2,Public,999,288,0
schtype,MAT,8,2017,NT,PC:P1,SCHTYP2,Public,999,288,0
schtype,MAT,8,2017,NT,PC:P2,SCHTYP2,Public,999,288,0
schtype,MAT,8,2017,NT,PC:P5,SCHTYP2,Public,999,288,0
schtype,MAT,8,2017,NT,PC:P7,SCHTYP2,Public,999,288,0
schtype,MAT,8,2017,NT,PC:P9,SCHTYP2,Public,999,288,0
schtype,MAT,8,2017,NT,MN:MN,SCHTYP2,Private,999,288,0
schtype,MAT,8,2017,NT,PC:P1,SCHTYP2,Private,999,288,0
