wave,county_fips,county_pop,share_mobile_any,share_anywless_t6,share_anywless_t7,share_anywless_t8,source,share_mobile_t6,share_mobile_t7,share_mobile_t7_vzw,mobile_t7_any,mobile_any_any
2011-06,06015,28934.0,0.9846,0.0,0.0,0.0,analyze_table,,,,,
2011-06,06017,181097.0,0.9888,0.7182,0.5972,0.0,analyze_table,,,,,
2011-06,06019,953502.0,0.9982,0.778,0.7668,0.0,analyze_table,,,,,
2011-06,06021,28635.0,0.9939,0.9757,0.0,0.0,analyze_table,,,,,
2011-06,06023,134454.0,0.9671,0.0,0.0,0.0,analyze_table,,,,,
2011-06,06025,181396.0,0.9999,0.0016,0.0014,0.0,analyze_table,,,,,
2011-06,06027,18332.0,0.9626,0.0,0.0,0.0,analyze_table,,,,,
2011-06,06029,864936.0,0.9949,0.008,0.0076,0.0,analyze_table,,,,,
2011-06,06031,156498.0,1.0,0.0394,0.0381,0.0,analyze_table,,,,,
2011-06,06033,64671.0,0.9684,0.9973,0.0012,0.0,analyze_table,,,,,
2011-06,06035,35240.0,0.9808,0.8515,0.0,0.0,analyze_table,,,,,
2011-06,06037,9946572.0,0.9993,0.9921,0.9788,0.0,analyze_table,,,,,
2011-06,06039,155404.0,0.9938,0.689,0.6455,0.0,analyze_table,,,,,
2011-06,06041,254386.0,0.9899,0.918,0.8091,0.0,analyze_table,,,,,
2011-06,06043,18292.0,0.7473,0.0471,0.0471,0.0,analyze_table,,,,,
2011-06,06045,87975.0,0.9318,0.4442,0.0003,0.0,analyze_table,,,,,
2011-06,06047,260989.0,1.0,0.6533,0.6411,0.0,analyze_table,,,,,
2011-06,06049,9663.0,0.9586,0.0,0.0,0.0,analyze_table,,,,,
2011-06,06051,14258.0,0.8488,0.0,0.0,0.0,analyze_table,,,,,
2011-06,06053,422255.0,0.9915,0.8682,0.8225,0.0,analyze_table,,,,,
2011-06,06055,137746.0,0.9863,0.9961,0.82,0.0,analyze_table,,,,,
2011-06,06057,98645.0,0.9865,0.7313,0.0526,0.0,analyze_table,,,,,
2011-06,06059,3039184.0,0.9998,0.9978,0.9901,0.0,analyze_table,,,,,
2011-06,06061,354259.0,0.999,0.9318,0.7813,0.0,analyze_table,,,,,
2011-06,06063,19726.0,0.9449,0.9653,0.0,0.0,analyze_table,,,,,
2011-06,06065,2256105.0,0.9996,0.9272,0.8997,0.0,analyze_table,,,,,
2011-06,06067,1425776.0,1.0,0.9965,0.9658,0.0,analyze_table,,,,,
2011-06,06069,55810.0,0.9929,0.9692,0.9204,0.0,analyze_table,,,,,
2011-06,06071,2070713.0,0.9985,0.7413,0.7222,0.0,analyze_table,,,,,
2011-06,06073,3125824.0,0.9967,0.9769,0.9701,0.0,analyze_table,,,,,
2011-06,06075,817287.0,1.0,0.9992,0.9279,0.0,analyze_table,,,,,
2011-06,06077,692750.0,1.0,0.4653,0.3677,0.0,analyze_table,,,,,
2011-06,06079,272182.0,0.9891,0.0,0.0,0.0,analyze_table,,,,,
2011-06,06081,730096.0,0.9974,0.987,0.8774,0.0,analyze_table,,,,,
2011-06,06083,427983.0,0.9947,0.0038,0.0038,0.0,analyze_table,,,,,
2011-06,06085,1820703.0,0.9997,0.9996,0.9129,0.0,analyze_table,,,,,
2011-06,06087,265937.0,0.9906,0.9963,0.8123,0.0,analyze_table,,,,,
2011-06,06089,176876.0,0.9927,0.9231,0.0,0.0,analyze_table,,,,,
2011-06,06091,3215.0,0.7067,0.9269,0.0291,0.0,analyze_table,,,,,
2011-06,06093,45082.0,0.9474,0.4983,0.0,0.0,analyze_table,,,,,
2011-06,06095,412510.0,1.0,0.9867,0.9232,0.0,analyze_table,,,,,
2011-06,06097,485844.0,0.9927,0.9509,0.9077,0.0,analyze_table,,,,,
2011-06,06099,519213.0,0.9999,0.5197,0.2093,0.0,analyze_table,,,,,
2011-06,06101,96821.0,1.0,1.0,0.8634,0.0,analyze_table,,,,,
2011-06,06103,64428.0,0.9978,0.9933,0.0,0.0,analyze_table,,,,,
2011-06,06105,14032.0,0.7481,0.0,0.0,0.0,analyze_table,,,,,
2011-06,06107,456895.0,0.9941,0.5335,0.5145,0.0,analyze_table,,,,,
2011-06,06109,54979.0,0.9675,0.002,0.0002,0.0,analyze_table,,,,,
2011-06,06111,831134.0,0.9978,0.8951,0.8904,0.0,analyze_table,,,,,
2011-06,06113,203949.0,0.9984,0.9994,0.9198,0.0,analyze_table,,,,,
2011-06,06115,74345.0,0.9888,0.986,0.7687,0.0,analyze_table,,,,,
2011-06,08001,453353.0,0.9998,0.9974,0.0,0.0,analyze_table,,,,,
2011-06,08003,15616.0,0.9995,0.9989,0.0,0.0,analyze_table,,,,,
2011-06,08005,579535.0,0.9994,0.9934,0.0,0.0,analyze_table,,,,,
2011-06,08007,12386.0,0.9324,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08009,3765.0,0.9167,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08011,6479.0,0.9898,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08013,296953.0,0.9919,0.9678,0.0,0.0,analyze_table,,,,,
2011-06,08014,57229.0,1.0,1.0,0.0,0.0,analyze_table,,,,,
2011-06,08015,17884.0,0.9748,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08017,1802.0,0.9598,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08019,8990.0,0.9693,0.0478,0.0,0.0,analyze_table,,,,,
2011-06,08021,8320.0,0.9518,0.9871,0.0,0.0,analyze_table,,,,,
2011-06,08023,3534.0,0.8714,0.941,0.0,0.0,analyze_table,,,,,
2011-06,08025,5926.0,0.991,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08027,4282.0,0.8105,0.016,0.0,0.0,analyze_table,,,,,
2011-06,08029,31469.0,0.9738,0.0002,0.0,0.0,analyze_table,,,,,
2011-06,08031,615690.0,1.0,1.0,0.0,0.0,analyze_table,,,,,
2011-06,08033,2130.0,0.8359,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08035,292087.0,0.9977,0.9706,0.0,0.0,analyze_table,,,,,
2011-06,08037,53831.0,0.9848,0.0,0.0,0.0,analyze_table,,,,,
2011-06,08039,22953.0,0.9392,0.3362,0.0,0.0,analyze_table,,,,,
2011-06,08041,629441.0,0.9962,0.8857,0.0,0.0,analyze_table,,,,,
