county_fips,county_pop,state,n_waves_observed,first_t6_25,never_t6_25_by_jun2014,first_t6_50,never_t6_50_by_jun2014,first_t6_75,never_t6_75_by_jun2014,first_t7_25,never_t7_25_by_jun2014,first_t7_50,never_t7_50_by_jun2014,first_t7_75,never_t7_75_by_jun2014
36055,744344,NY,9,2010-06,False,2010-06,False,2010-06,False,2010-12,False,2010-12,False,2010-12,False
36057,50219,NY,9,2011-12,False,2011-12,False,2013-06,False,2011-12,False,2011-12,False,2013-06,False
36059,1339532,NY,9,2010-06,False,2010-06,False,2010-06,False,2010-12,False,2010-12,False,2010-12,False
36061,1585873,NY,9,2010-06,False,2010-06,False,2010-06,False,2010-12,False,2010-12,False,2010-12,False
36063,216469,NY,9,2010-06,False,2010-06,False,2012-12,False,2011-12,False,2012-06,False,2012-12,False
36065,234878,NY,9,2011-06,False,2011-12,False,2011-12,False,2011-12,False,2011-12,False,2011-12,False
36067,467026,NY,9,2010-06,False,2010-06,False,2010-06,False,2011-12,False,2011-12,False,2011-12,False
36069,107931,NY,9,2010-12,False,2010-12,False,2010-12,False,2010-12,False,2010-12,False,2010-12,False
36071,372813,NY,9,2011-12,False,2011-12,False,2011-12,False,2011-12,False,2011-12,False,2011-12,False
36073,42883,NY,9,2012-12,False,2013-06,False,2013-06,False,2012-12,False,2013-06,False,2013-06,False
36075,122109,NY,9,2011-12,False,2012-12,False,2013-06,False,2011-12,False,2012-12,False,2013-06,False
36077,62259,NY,9,2012-06,False,2012-12,False,2014-06,False,2012-06,False,2012-12,False,2014-06,False
36079,99710,NY,9,2010-12,False,2011-06,False,2011-12,False,2011-06,False,2011-12,False,2011-12,False
36081,2230722,NY,9,2010-06,False,2010-06,False,2010-06,False,2010-12,False,2010-12,False,2010-12,False
36083,159429,NY,9,2010-06,False,2011-12,False,2011-12,False,2011-12,False,2011-12,False,2011-12,False
36085,468730,NY,9,2010-06,False,2010-06,False,2010-06,False,2010-12,False,2010-12,False,2010-12,False
36087,311687,NY,9,2010-06,False,2010-06,False,2010-06,False,2011-06,False,2011-06,False,2011-06,False
36089,111944,NY,9,2013-06,False,2013-12,False,2013-12,False,2013-06,False,2013-12,False,2013-12,False
36091,219607,NY,9,2011-12,False,2011-12,False,2011-12,False,2011-12,False,2011-12,False,2011-12,False
36093,154727,NY,9,2010-06,False,2010-06,False,2010-06,False,2011-12,False,2011-12,False,2011-12,False
36095,32749,NY,9,2012-12,False,2012-12,False,2013-12,False,2012-12,False,2012-12,False,2013-12,False
36097,18343,NY,9,2011-12,False,2011-12,False,2013-06,False,2011-12,False,2011-12,False,2013-06,False
36099,35251,NY,9,2010-12,False,2010-12,False,2012-12,False,2010-12,False,2010-12,False,2012-12,False
36101,98990,NY,9,2011-12,False,2012-06,False,2013-06,False,2011-12,False,2012-06,False,2013-06,False
36103,1493350,NY,9,2010-06,False,2010-06,False,2010-12,False,2011-06,False,2011-06,False,2011-06,False
36105,77547,NY,9,2011-12,False,2012-06,False,2013-06,False,2011-12,False,2012-06,False,2013-06,False
36107,51125,NY,9,2012-06,False,2012-06,False,2013-06,False,2012-06,False,2012-06,False,2013-06,False
36109,101564,NY,9,2011-06,False,2011-12,False,2011-12,False,2011-12,False,2011-12,False,2011-12,False
36111,182493,NY,9,2011-12,False,2011-12,False,2012-12,False,2011-12,False,2011-12,False,2012-12,False
